연도,순위,선수명,팀명,G,SBA,SB,CS,SB%,OOB,PKO
,16,고영민,두산,116,24,14,10,58.3,0,0
,17,양준혁,삼성,126,19,12,7,63.2,0,0
,17,오태근,LG,70,18,12,6,66.7,0,0
,17,김원섭,KIA,94,14,12,2,85.7,0,0
,20,김민재,한화,121,14,11,3,78.6,0,0
,21,박진만,삼성,115,16,10,6,62.5,0,0
,21,이종범,KIA,93,17,10,7,58.8,0,0
,23,김재걸,삼성,115,12,9,3,75,0,0
,23,조영훈,삼성,88,11,9,2,81.8,0,0
,23,임재철,두산,99,15,9,6,60,0,0
,26,강동우,두산,118,14,8,6,57.1,0,0
,26,김강민,SK,96,13,8,5,61.5,0,0
,26,조동화,SK,65,9,8,1,88.9,0,0
,26,박기혁,롯데,117,16,8,8,50,0,0
,26,서한규,현대,88,9,8,1,88.9,0,0
2005,1,박용택,LG,126,50,43,7,86,0,0
,2,윤승균,두산,116,51,39,12,76.5,0,0
,3,이대형,LG,107,46,37,9,80.4,0,0
,4,이용규,KIA,124,41,31,10,75.6,0,0
,5,정수성,현대,118,34,29,5,85.3,0,0
,6,이종범,KIA,118,33,28,5,84.8,0,0
,7,박재홍,SK,109,32,22,10,68.8,0,0
,8,강명구,삼성,106,23,21,2,91.3,0,0
,8,신명철,롯데,116,29,21,8,72.4,0,0
,8,정수근,롯데,109,36,21,15,58.3,0,0
,11,김민재,SK,125,25,20,5,80,0,0
,12,조동화,SK,110,24,19,5,79.2,0,0
,12,클리어,LG,110,24,19,5,79.2,0,0
,14,전준호,현대,94,26,18,8,69.2,0,0
,15,조동찬,삼성,122,23,17,6,73.9,0,0
,16,안재만,LG,65,21,15,6,71.4,0,0
,17,박한이,삼성,123,22,12,10,54.5,0,0
,17,문희성,두산,114,15,12,3,80,0,0
,19,최경환,두산,102,15,11,4,73.3,0,0
,19,김민철,KIA,101,15,11,4,73.3,0,0
,19,김종국,KIA,117,16,11,5,68.8,0,0
,19,고동진,한화,94,14,11,3,78.6,0,0
,23,양준혁,삼성,124,13,10,3,76.9,0,0
,23,임재철,두산,109,13,10,3,76.9,0,0
,23,이병규,LG,119,16,10,6,62.5,0,0
,26,서한규,현대,93,11,9,2,81.8,0,0
,26,강동우,삼성,125,10,9,1,90,0,0
,26,김수연,한화,111,12,9,3,75,0,0
,29,김재걸,삼성,103,16,8,8,50,0,0
,29,나주환,두산,99,11,8,3,72.7,0,0
